lastname,firstname
lang, b
wong, s
orth, ur
holancova, d
sundar, ss
kalyanaraman, s
barone, mj
palan, km
miniard, pw
rifon, nj
choi, sm
trimble, cs
li, hr
shimp, ta
stuart, ew
griffith, da
chen, qm
pope, nkl
voges, ke
brown, mr
martin, bas
lang, b
wong, s
drumwright, me
murphy, pe
garretson, ja
niedrich, rw
braun-latour, ka
latour, ms
chan, y
irish, jc
wood, sj
sommer, dd
brown, dh
gullane, pj
o'sullivan, b
lockwood, ga
neeley, sm
schumann, dw
muehling, dd
sprott, de
baker, sm
motley, cm
henderson, gr
zhou, n
belk, rw
baker, we
honea, h
russell, ca
braun-latour, ka
latour, ms
pickrell, je
loftus, ef
martin, bas
lee, ckc
yang, f
sutherland, j
duke, l
abernethy, a
coulter, ks
punj, gn
rotfeld, hj
jevons, c
powell, i
choi, yk
miracle, ge
cho, ch
cheon, hj
ewing, mt
salzberger, t
sinkovics, rr
polyorat, k
alden, dl
hung, k
gu, ff
tse, dk
liu, ss
johnson, kf
zhou, sh
zhou, pq
xue, f
mcquarrie, ef
phillips, bj
cornwell, tb
weeks, cs
roy, dp
luna, d
peracchio, la
ko, hj
cho, ch
roberts, ms
moore, rs
stammerjohan, ca
coulter, ra
choi, sm
lee, wn
kim, hj
cho, ch
cheon, hj
carlson, l
grove, sj
stafford, mr
obermiller, c
spangenberg, e
maclachlan, dl
braun-latour, ka
latour, ms
sicilia, m
ruiz, s
munuera, jl
till, bd
baack, dw
sinclair, j
irani, t
reid, m
luxton, s
mavondo, f
ratnatunga, j
ewing, mt
stammerjohan, c
wood, cm
chang, ym
thorson, e
madhavaram, s
badrinarayanan, v
mcdonald, re
dewhirst, t
davis, b
beverland, m
luxton, s
russell, ca
stern, bb
maher, jk
hu, my
kolbe, rh
burns, ks
lutz, rj
gould, sj
gupta, pb
leigh, jh
zinkhan, gm
swaminathan, v
feldman, dc
bearden, wo
hardesty, dm
berney-reddish, ilona a.
areni, charles s.
biswas, dipayan
biswas, abhijit
das, neel
franses, philip hans
vroomen, bjorn
ang, swee hoon
lim, elison ai ching
chow, cheris w. c.
luk, chung-leung
geissler, gary l.
zinkhan, george m.
watson, richard t.
koernig, stephen k.
granitz, neil
wildman, steven s.
li, hairong
napoli, philip m.
dou, wenyu
wang, guangping
zhou, nan
dertouzos, james n.
garber, steven
huang, chun-yao
lin, chen-shun
okazaki, shintaro
taylor, charles r.
zou, shaoming
brumbaugh, anne m.
grier, sonya a.
delorme, denise e.
huh, jisu
reid, leonard n.
potter, robert f.
latour, michael s.
braun-latour, kathryn a.
reichert, tom
koslow, scott
sasser, sheila l.
riordan, edward a.
woo, ka-shing
fock, henry k. y.
hui, michael k. m.
balasubramanian, siva k.
karrh, james a.
patwardhan, hemant
cho, chang-hoan
khang, hyoungkoo
prendergast, gerard
west, douglas
shi, yi-zheng
ruth, julie a.
simonin, bernard l.
taylor, charles r.
franke, george r.
bang, hae-kyong
johnson, grace j.
bruner, gordon c.
kumar, anand
miniard, paul w.
barone, michael j.
rose, randall l.
manning, kenneth c.
la ferle, carrie
edwards, steven m.
nelson, michelle r.
yaros, ronald a.
keum, heejo
li, fuan
miniard, paul w.
zhang, yong
zinkhan, george m.
faseur, tine
geuens, maggie
yang, moonhee
roskos-ewoldsen, david r.
dinu, lucian
arpan, laura m.
coulter, keith s.
punj, girish n.
grove, stephen j.
carlson, les
dorsch, michael j.
cline, thomas w.
kellaris, james j.
shen, fuyuan
chen, qimei
phillips, joanna
noble, stephanie m.
kim, jooyoung
morris, jon d.
lee, byoungkwan
salmon, charles t.
paek, hye-jin
moorman, marjolein
neijens, peter c.
smit, edith g.
polonsky, michael j.
hyman, michael r.
hassan, louise m.
walsh, gianfranco
shiu, edward m. k.
hastings, gerard
harris, fiona
shanahan, kevin j.
hopkins, christopher d.
torres, ivonne m.
sierra, jeremy j.
heiser, robert s.
nan, xiaoli
heo, kwangjun
shabbir, haseeb
thwaites, des
mallinckrodt, victoria
mizerski, dick
an, soontae
bergen, lori
dolnicar, sara
jordaan, yolanda
malthouse, edward c.
calder, bobby j.
tamhane, ajit
spears, nancy
germain, richard
muniz, albert m.
schau, hope jensen
chowdhury, rafi m. m. i.
finn, adam
olsen, g. douglas
torres, ivonne m.
briggs, elten
sohn, dongyoung
ci, cunhyeong
lee, byung-kwan
choi, sejung marina
lee, wei-na
huh, jisu
langteau, rita
cannon, hugh m.
smith, j. alexander
williams, david l.
grau, stacy landreth
folse, judith anne garretson
bolls, paul d.
muehling, darrel d.
beverland, michael
farrelly, francis
woodhatch, zeb
wakefield, kirk l.
becker-olsen, karen
cornwell, t. bettina
lee, mira
faber, ronald j.
eng, li li
keh, hean tat
strasheim, arien
pitt, leyland
caruana, albert
bradley, samuel d.
angelini, james r.
lee, sungkyoung
peters, cara
amato, christie h.
hollenbeck, candice r.
eighmey, john
sar, sela
beverland, michael b.
lindgreen, adam
vink, michiel w.
martin, brett a. s.
wentzel, daniel
tomczak, torsten
jin, hyun seung
suh, jaebeom
donavan, d. todd
wilson, rick t.
till, brian d.
chang, chung-chau
chou, yu-jen
cowley, elizabeth
barron, chris
kim, juran
mcmillan, sally j.
capella, michael l.
taylor, charles r.
webster, cynthia
lagerwerf, luuk
meijers, anoe
yaveroglu, idil
donthu, naveen
zhao, xin
belk, russell w.
lee, yih hwai
lim, elison ai ching
bergkvist, lars
rossiter, john r.
kim, jooyoung
morris, jon d.
swait, joffre
chowdhury, rafi m. m. i.
olsen, g. douglas
pracejus, john w.
dahlen, micael
rosengren, sara
torn, fredrik
ohman, niclas
ford, john b.
merchant, altaf
mcquarrie, edward f.
phillips, barbara j.
ahn, jungsun
la ferle, carrie
sasser, sheila l.
koslow, scott
goldenberg, jacob
mazursky, david
west, douglas c.
kover, arthur j.
caruana, albert
smith, robert e.
chen, jiemiao
yang, xiaojing
poels, karolien
dewitte, siegfried
heiser, robert s.
sierra, jeremy j.
torres, ivonne m.
baack, daniel w.
wilson, rick t.
till, brian d.
li, hairong
dou, wenyu
wang, guangping
zhou, nan
verbeke, willem
franses, philip hans
le blanc, arthur
van ruiten, nienke
bernardin, thomas
kemp-robertson, paul
stewart, david w.
cheng, yan
wan, heather
rossiter, john r.
erevelles, sunil
roundtree, robert
zinkhan, george m.
fukawa, nobuyuki
kim, wonsuk jerry
king, karen whitchill
pack, hye-jin
yu, jay (hyunjae)
bae, beom jun
phillips, barbara j.
mcquarrie, edward f.
drumwright, minette e.
murphy, patrick e.
waller, david s.
lanis, roman
thota, sweta chaturvedi
biswas, abhijit
esteban-bravo, mercedes
m mugica, jose
m vidal-sanz, jose
pope, nigel
voges, kevin e.
brown, mark
raju, sekar
unnava, h. rao
montgomery, nicole votolato
miller, barbara
sinclair, janas
liu, yuping
shrum, l. j.
micu, camelia c.
coulter, robin a.
price, linda l.
soh, hyeonjin
reid, leonard n.
king, karen whitehill
tinkham, spencer f.
lariscy, ruthann weaver
avery, elizabeth johnson
dahlen, micael
friberg, lars
nilsson, erik
martin, brett a. s.
gnoth, juergen
strong, carolyn
poncin, ingrid
derbaix, christian
kim, sora
haley, eric
koo, gi-yong
nyilasy, gergely
reid, leonard n.
russell, cristel antonia
russell, dale w.
grube, joel w.
bower, amanda b.
grau, stacy landreth
latour, kathryn a.
latour, michael s.
rotfeld, herbert jack
taylor, charles r.
wolburg, joyce m.
venger, olesya
petty, ross d.
d'rozario, denver
rapp, justine
hill, ronald paul
gaines, jeannie
wilson, r. mark
okazaki, shintaro
li, hairong
hirose, morikazu
miyazaki, anthony d.
stanaland, andrea j. s.
lwin, may o.
wicks, jan leblanc
warren, ron
fosu, ignatius
wicks, robert h.
milne, george r.
rohm, andrew
bahl, shalini
cauberghe, verolien
de pelsmacker, patrick
kees, jeremy
burton, scot
tangari, andrea heintz
bakir, aysen
palan, kay m.
brown, mark r.
bhadury, roop k.
pope, nigel k. ll.
bellman, steven
schweda, anika
varan, duane
de gregorio, federico
sung, yongjun
kim, jooyoung
yoon, hye jin
lee, sun young
ashley, christy
oliver, jason d.
okazaki, shintaro
mueller, barbara
taylor, charles r.
cronin, j. joseph
fox, gavin l.
tangari, andrea heintz
folse, judith anne garretson
burton, scot
kees, jeremy
puntoni, stefano
schroeder, jonathan e.
ritson, mark
samuelsen, bendik meling
olsen, lars erling
taylor, valerie a.
halstead, diane
haynes, paula j.
kim, byoung hee
han, sangpil
yoon, sukki
carrillat, francois a.
harris, eric g.
lafferty, barbara a.
amos, clinton
spears, nancy
pergelova, albena
prior, diego
rialp, josep
bishop, melissa m.
peterson, mark
millan, elena s.
mittal, banwari
wakefield, kirk l.
bennett, gregg
borghini, stefania
visconti, luca massimiliano
anderson, laurel
sherry, john f.
cismaru, magdalena
jensen, gitte
lavack, anne m.
rifon, nora j.
royne, marla b.
carlson, les
jones, tim
cunningham, peggy h.
gallagher, katherine
capella, michael l.
hill, ronald paul
rapp, justine m.
kees, jeremy
keller, sarah n.
wilkinson, timothy
otjen, a. j.
becker-olsen, karen l.
norberg, patricia a.
brocato, e. deanne
gentile, douglas a.
laczniak, russell n.
maier, julia a.
ji-song, mindy
gulas, charles s.
mckeage, kim k.
weinberger, marc g.
ashworth, laurence
pyle, martin
pancer, ethan
이재홍,이재홍
윤보섭,윤보섭
delbaere, marjorie
mcquarrie, edward f.
phillips, barbara j.
cheong, yunjae
leckenby, john d.
eakin, tim
puntoni, stefano
vanhamme, joelle
visscher, ruben
an, soontae
stern, susannah
olson, erik l.
thjomoe, hans mathias
sung, yongjun
choi, sejung marina
campbell, colin
pitt, leyland f.
parent, michael
berthon, pierre r.
gkiouzepas, lampros
hogg, margaret k.
ahn, sun joo
bailenson, jeremy n.
graham, roger c.
frankenberger, kristina d.
defever, christine
pandelaere, mario
roe, keith
bhatnagar, namita
wan, fang
duff, brittany r. l.
faber, ronald j.
yoon, sukki
choi, yung kyun
song, sujin
voorveld, hilde a. m.
neijens, peter c.
smit, edith g.
muehling, darrel d.
pascal, vincent j.
sheinin, daniel a.
varki, sajeev
ashley, christy
aggarwal, praveen
jun, sung youl
huh, jong ho
taute, harry a.
mcquitty, shaun
sautter, elise pookie
jeong, eui jun
bohil, corey j.
biocca, frank a.
carroll, ryall
luna, david
hung, kineta
li, stella yiyan
tse, david k.
kopf, dennis a.
torres, ivonne m.
enomoto, carl
dahlen, micael
thorbjornsen, helge
sjodin, henrik
zanjani, shabnam h. a.
diamond, william d.
chan, kwong
matthes, joerg
wirth, werner
schemer, christian
kissling, anna-katerina
stevenson, thomas h.
swayne, linda e.
blackford, benjamin j.
gentry, james
harrison, robert l.
carlson, les
mcalister, anna r.
kelly, sarah j.
humphreys, michael s.
cornwell, t. bettina
baek, tae hyun
morimoto, mariko
folse, judith anne garretson
netemeyer, richard g.
burton, scot
morales, andrea c.
scott, maura l.
yorkston, eric a.
bee, colleen c.
madrigal, robert
leonard, hillary a.
ashley, christy
oyedele, adesegun
minor, michael s.
san jose-cabezudo, rebeca
camarero-izquierdo, carmen
bellman, steven
treleaven-hassard, shiree
robinson, jennifer a.
rask, amy
varan, duane
moorman, marjolein
willemsen, lotte m.
neijens, peter c.
smit, edith g.
wei, yujie
yu, chunling
gillespie, brian
joireman, jeff
muehling, darrel d.
bergkvist, lars
eiderback, daniel
palombo, michaela
kim, jooyoung
baek, youngshim
choi, yang ho
yim, mark yi-cheon
cicchirillo, vincent j.
drumwright, minette e.
de gregorio, federico
cheong, yunjae
kim, kihan
rose, gregory m.
merchant, altaf
bakir, aysen
sasser, sheila l.
koslow, scott
dens, nathalie
de pelsmacker, patrick
wouters, marijke
purnawirawan, nathalia
shanahan, kevin j.
hopkins, christopher d.
carlson, les
raymond, mary anne
johnson, guillaume d.
grier, sonya a.
moore, david j.
lee, seung pil
hung, kineta
tse, caleb h.
cheng, shirley y. y.
tucker, elizabeth m.
rifon, nora j.
lee, eun mi
reece, bonnie b.
ku, hsuan-hsuan
kuo, chien-chih
wu, ching-luen
wu, chih-ying
finisterra do paco, arminda maria
reis, rosa
sheehan, kim
atkinson, lucy
kareklas, ioannis
carlson, jeffrey r.
muehling, darrel d.
bickart, barbara a.
ruth, julie a.
minton, elizabeth
lee, christopher
orth, ulrich
kim, chung-hyun
kahle, lynn
royne, marla b.
martinez, jennifer
oakley, jared
fox, alexa k.
xie, guang-xin
kronrod, ann
fowler, aubrey r.
close, angeline g.
wang, guangping
dou, wenyu
li, hairong
zhou, nan
chang, chun-tuan
yen, ching-ting
kemp, elyria
kennett-hensel, pamela a.
kees, jeremy
nelson, michelle r.
deshpande, sameer
puzakova, marina
kwak, hyokjin
taylor, charles r.
yoon, hye jin
tinkham, spencer f.
kinard, brian r.
hartman, katherine b.
yeu, minsun
yoon, hee-sook
taylor, charles r.
lee, doo-hee
terlutter, ralf
capella, michael l.
peters, sara
leshner, glenn
yoon, gunwoo
vargas, patrick t.
rozendaal, esther
slot, noortje
van reijmersdal, eva a.
buijzen, moniek
waiguny, martin k. j.
nelson, michelle r.
marko, bernhard
besharat, ali
kumar, anand
lax, john r.
rydzik, eric j.
steffen, celina
mau, gunnar
schramm-klein, hanna
poels, karolien
janssens, wim
herrewijn, laura
choi, yung kyun
lee, sung mi
li, hairong
evans, nathaniel j.
carlson, les
hoy, mariea grubbs
gangadharbatla, harsha
bradley, samuel
wise, wesley
panic, katarina
cauberghe, verolien
de pelsmacker, patrick
bakalash, tomer
riemer, hila
lawrence, benjamin
fournier, susan
brunel, frederic
swani, kunal
weinberger, marc g.
gulas, charles s.
rosengren, sara
dahlen, micael
modig, erik
folse, judith anne garretson
burton, scot
netemeyer, richard g.
jin, hyun seung
lutz, richard j.
kim, jooyoung
yoon, hye jin
peters, sara
leshner, glenn
kareklas, ioannis
carlson, jeffrey r.
muehling, darrel d.
atkinson, lucy
rosenthal, sonny
noguti, valeria
russell, cristel antonia
latour, kathryn a.
latour, michael s.
brainerd, charles
an, soontae
jin, hyun seung
park, eun hae
muehling, darrel d.
sprott, david e.
sultan, abdullah j.
cho, soyoen
huh, jisu
faber, ronald j.
matthes, joerg
wonneberger, anke
jin, seung-a annie
phua, joe
green, todd
peloza, john
walraven, merel
bijmolt, tammo h. a.
koning, ruud h.
fernando, angeline gautami
suganthi, l.
sivakumaran, bharadhwaj
banks, ivana busljeta
de pelsmacker, patrick
kumar, anand
besharat, ali
lindsey, charles d.
krishnan, shanker
zhao, guangzhi
muehling, darrel d.
kareklas, ioannis
eisend, martin
plagemann, julia
sollwedel, julia
lehnert, kevin
till, brian d.
miguel ospina, jose
chen, huan
haley, eric
kim, kyongseok
hayes, jameson l.
avant, j. adam
reid, leonard n.
cheong, yunjae
de gregorio, federico
kim, kihan
phillips, barbara j.
mcquarrie, edward f.
griffin, w. glenn
van mulken, margot
van hooft, andreu
nederstigt, ulrike
roy, rajat
phau, ian
yoon, hye jin
kim, yeuseung
halkias, georgios
kokkinaki, flora
kim, kyongseok
hayes, jameson l.
avant, j. adam
reid, leonard n.
luxton, sandra
reid, mike
mavondo, felix
rosengren, sara
dahlen, micael
theodorakis, ioannis g.
koritos, christos
stathakopoulos, vlasis
van enschot, renske
hoeken, hans
ferguson, nakeisha s.
burkhalter, janee n.
thomas, tandy chalmers
trump, rebecca k.
price, linda l.
puntoni, stefano
de hooge, ilona e.
verbeke, willem j. m. i.
de meulenaer, sarah
de pelsmacker, patrick
dens, nathalie
wyllie, jessica
baxter, stacey
kulczynski, alicia
royne, marla b.
levy, marian
kareklas, ioannis
muehling, darrel d.
weber, t. j.
shen, fuyuan
sheer, vivian c.
li, ruobing
newton, joshua d.
wong, jimmy
newton, fiona j.
yeh, marie a.
jewell, robert d.
duff, brittany r-l.
sar, sela
boerman, sophie c.
van reijmersdal, eva a.
neijens, peter c.
li, hao
lo, hui-yi
zayer, linda tuncay
coleman, catherine a.
voorveld, hilde a. m.
valkenburg, sanne m. f.
puzakova, marina
kwak, hyokjin
bell, monique
mohanty, praggyan (pam)
ratneshwar, s.
da costa hernandez, jose mauro
wright, scott a.
rodrigues, filipe ferminiano
kulkarni, atul a.
yuan, hong
taylor, charles r.
okazaki, shintaro
roy, rajat
sharma, piyush
pounders, kathrynn r.
lee, seungae
mackert, mike
schmidt, susanne
eisend, martin
carrillat, francois a.
solomon, paul j.
d'astous, alain
leonhardt, james m.
catlin, jesse r.
pirouz, dante m.
rangan, priyamvadha
singh, surendra n.
landau, mark j.
choi, jungsil
park, sun-young
morton, cynthia r.
huh, jisu
suzuki-lambrecht, yoshikazu
lueck, jennifer
gross, michelle
sundar, aparna
kardes, frank r.
wright, scott a.
foos, adrienne e.
keeling, kathleen
keeling, debbie
sharma, piyush
roy, rajat
hartnett, nicole
kennedy, rachel
sharp, byron
greenacre, luke
danenberg, nick
kennedy, rachel
beal, virginia
sharp, byron
eisend, martin
franke, george r.
leigh, james h.
kerr, gayle
schultz, don e.
lings, ian
abernethy, avery m.
keel, astrid l.
davis, cassandra
burton, scot
lin, ying-ching
wang, kai-yu
vermeulen, ivar
beukeboom, camiel j.
darrat, mahmoud a.
wilcox, gary b.
funches, venessa
darrat, mohamad a.
bellman, steven
wooley, brooke
varan, duane
segev, sigal
fernandes, juliana
hong, cheng
pantoja, felipe
rossi, patricia
borges, adilson
seyedghorban, zahra
tahernejad, hossein
matanda, margaret jekanyika
kwon, eunseon (penny)
ratneshwar, s.
kim, eunjin (anna)
o'connor, huw
koslow, scott
kilgour, mark
sasser, sheila l.
wojdynski, bartosz w.
evans, nathaniel j.
vanwesenbeeck, ini
walrave, michel
ponnet, koen
angell, robert
gorton, matthew
sauer, johannes
bottomley, paul
white, john
xie, yi
keh, hean tat
yoo, jinnie jinyoung
lee, wei-na
mukherjee, ashesh
lee, seung yun
dahlen, micael
rosengren, sara
kumar, v.
gupta, shaphali
dahlen, micael
rosengren, sara
puzakova, marina
kwak, hyokjin
ramanathan, suresh
rocereto, joseph f.
segijn, claire m.
voorveld, hilde a. m.
smit, edith g.
kazakova, snezhanka
cauberghe, verolien
hudders, liselot
labyt, christophe
choi, jungsil (david)
rangan, priyamvadha
singh, surendra n.
thomas, veronica l.
fowler, kendra
hartmann, patrick
apaolaza, vanessa
eisend, martin
reich, brandon j.
soule, catherine a. armstrong
kwon, jaehwan
seo, yuri
ko, dongwoo
cinelli, melissa d.
yang, lifeng
lin, ying-ching
wang, kai-yu
hamby, anne
brinberg, david
kim, dongwook
mishra, sanjay
wang, ze
singh, surendra n.
eisend, martin
tarrahi, farid
rossiter, john r.
percy, larry
geuens, maggie
de pelsmacker, patrick
vargas, patrick t.
duff, brittany r. l.
faber, ronald j.
weijters, bert
puntoni, stefano
baumgartner, hans
bergkvist, lars
langner, tobias
kees, jeremy
berry, christopher
burton, scot
sheehan, kim
malhotra, naresh k.
schaller, tracey king
patil, ashutosh
liu-thompkins, yuping
malthouse, edward c.
malthouse, edward c.
li, hairong
liu, xia
burns, alvin c.
hou, yingjian
becker, ingo f.
linzmajer, marc
von wangenheim, florian
roy, atanu
huh, jisu
pfeuffer, alexander
srivastava, jaideep
escalas, jennifer edson
bettman, james r.
franke, george r.
taylor, charles r.
saenger, christina
jewell, robert d.
grigsby, jamie l.
ju, ilyoung
he, yi
chen, qimei
he, wei
shen, bin
sar, sela
harrison, robert l.
thomas, kevin d.
cross, samantha n. n.
madrigal, robert
king, jesse
kim, yeonshin
baek, tae hyun
yoon, sukki
oh, sangdo
choi, yung kyun
stewart, david w.
shamdasani, prem
kees, jeremy
berry, christopher
burton, scot
sheehan, kim
hair, joseph f.
babin, barry j.
krey, nina
kim, eunjin (anna)
ratneshwar, s.
thorson, esther
nelson, michelle r.
ham, chang-dae
ahn, regina
hudders, liselot
de pauw, pieter
cauberghe, veroline
panic, katarina
zarouali, brahim
rozendaal, esther
pozharliev, rumen
verbeke, willem j. m. i.
bagozzi, richard p.
boerman, sophie c.
kruikemeier, sanne
borgesius, frederik j. zuiderveen
campbell, colin
thompson, frauke mattison
grimm, pamela e.
robson, karen
baek, tae hyun
yoon, sukki
hair, joseph f.
babin, barry j.
krey, nina
segijn, claire m.
voorveld, hilde a. m.
smit, edith g.
ryoo, yuhosua
hyun, na kyong
sung, yongjun
rodgers, shelly
thorson, esther
pentina, iryna
guilloux, veronique
micu, anca cristina
baek, tae hyun
yoo, chan yun
seo, yuri
li, xiaozhu
choi, yung kyun
yoon, sukki
lin, meng-hsien (jenny)
cross, samantha n. n.
laczniak, russell n.
childers, terry l.
schmuck, desiree
matthes, joerg
naderer, brigitte
yoon, hye jin
la ferle, carrie
read, glenna l.
van driel, irene i.
potter, robert f.
yucel-aybat, ozge
kramer, thomas
gavilanes, jose manuel
flatten, tessa christina
brettel, malte
yoon, gunwoo
li, cong
ji, yi (grace)
north, michael
hong, cheng
liu, jiangmeng
voorveld, hilde a. m.
van noort, guda
muntinga, daniel g.
bronner, fred
hsieh, meng-hua
yucel-aybat, ozge
theodorakis, ioannis g.
painesis, grigorios
dickenson, peter
souchon, anne l.
parker, john
ang, lawrence
koslow, scott
de jans, steffi
vanwesenbeeck, ini
cauberghe, veroline
hudders, liselot
rozendaal, esther
van reijmersdal, eva a.
sharma, nazuk
varki, sajeev
kolsarici, ceren
vakratsas, demetrios
de jans, steffi
cauberghe, veroline
hudders, liselot
evans, nathaniel j.
hoy, mariea grubbs
childers, courtney carpenter
hwang, yoori
yum, jung-yoon
jeong, se-hoon
sekarasih, laras
scharrer, erica
olson, christine
onut, gamze
lanthorn, kylie
ilicic, jasmina
baxter, stacey m.
kulczynski, alicia
russell, cristel a.
hamby, anne m.
russell, dale w.
duff, brittany r. l.
segijn, claire m.
kees, jeremy
andrews, j. craig
feng, yang
xie, quan
lou, chen
zhang, yuli
kwak, hyokjin
jeong, haeyoung
puzakova, marina
schroll, roland
grohs, reinhard
el hazzouri, mohammed
main, kelley j.
sinclair, lisa
kitirattarkarn, gauze p.
araujo, theo
neijens, peter
venmahavong, tiffany
yoon, sukki
kim, kacy k.
yoo, chan yun
ghaffari, mahsa
hackley, chris
lee, zoe
carrillat, francois a.
ilicic, jasmina
poels, karolien
dewitte, siegfried
guo, fu
ye, guoquan
hudders, liselot
lv, wei
li, mingming
duffy, vincent g.
west, douglas
koslow, scott
kilgour, mark
moran, nora
bagchi, rajesh
lu, fang-chi
sinha, jayati
kim, b. kyu
choi, jinhee
wakslak, cheryl j.
feng, yang
chen, huan
he, li
soellner, johanna
dost, florian
segijn, claire m.
eisend, martin
eisend, martin
hermann, erik
gurzki, hannes
schlatter, nadia
woisetschlaeger, david m.
chen, gang
xie, peihong
dong, jing
wang, tianfu
deng, shasha
tan, chee-wee
wang, weijun
pan, yu
malthouse, edward c.
hessary, yasaman kamyab
vakeel, khadija ali
burke, robin
fuduric, morana
qin, xuebing
jiang, zhibin
farace, stefania
roggeveen, anne
ordenes, francisco villarroel
de ruyter, ko
wetzels, martin
grewal, dhruv
chu, shu-chuan
cao, yang
yang, jing
mundel, juan
hoeken, hans
hornikx, jos
linders, yvette
errmann, amy
seo, yuri
choi, yung kyun
yoon, sukki
jang, jung min
shin, sohyoun
deng, xun
han, bing
wang, liangyan
lou, chen
tse, caleb h.
lwin, may o.
kato, ryo
hoshino, takahiro
chang, chingching
lee, wei-na
liu-thompkins, yuping
la ferle, carrie
muralidharan, sidharth
kim, eunjin (anna)
youn, nara
park, jaewoo
eom, hyo jin
windels, kasey
champlin, sara
shelton, summer
sterbenk, yvette
poteet, maddison
coleman, joshua t.
royne (stafford), marla b.
pounders, kathrynn r.
garcia-collart, tessa
serin, nuket
sinha, jayati
joshi, pradnya
kronrod, ann
siemens, jennifer christie
weathers, danny
smith, scott
fisher, dan
usrey, bryan
palihawadana, dayananda
saridakis, charalampos
theotokis, aristeidis
liu, yongdan
liu, matthew tingchi
de ruyter, ko
heller, jonas
hilken, tim
chylinski, matthew
keeling, debbie i.
mahr, dominik
sharma, nazuk
romero, marisabel
you, ya
joshi, amit m.
germelmann, claas christian
herrmann, jean-luc
kacha, mathieu
darke, peter r.
wu, linwan
dodoo, naa amponsah
callejo, patricia
cuevas, angel
cuevas, ruben
esteban-bravo, mercedes
vidal-sanz, jose m.
monahan, lisa
romero, marisabel
eisend, martin
van reijmersdal, eva a.
boerman, sophie c.
tarrahi, farid
sarial-abi, gulen
ulqinaku, aulona
wakefield, lane
wakefield, kirk
lane keller, kevin
vijayalakshmi, akshaya
lin, meng-hsien (jenny)
laczniak, russell n.
araujo, theo
copulsky, jonathan r.
hayes, jameson l.
kim, su jung
srivastava, jaideep
liu-thompkins, yuping
maslowska, ewa
ren, yuqing
kim, hyejin
yun, joseph t.
segijn, claire m.
pearson, stewart
malthouse, edward c.
konstan, joseph a.
shankar, venkatesh
zhang, yakun
xiao, sarah hong
nicholson, michael
chen, qimei
he, yi
hu, miao
kim, jaisang (jay)
nelson, michelle r.
powell, rachel
ferguson, gail m.
tian, kathy
huh, jisu
malthouse, edward c.
de gregorio, federico
windels, kasey
van noort, guda
himelboim, itai
martin, jolie
collinger, tom
connors, scott
spangenberg, katie
perkins, andrew w.
forehand, mark
hsu, liwu
zhang, jie j.
lawrence, benjamin
kim, jungkeun
giroux, marilyn
gonzalez-jimenez, hector
jang, seongsoo
kim, seongseop (sam)
park, jooyoung
kim, jae-eun
lee, jacob c.
choi, yung kyun
can, ali selcuk
ekinci, yuksel
viglia, giampaolo
buhalis, dimitrios
wang, bin
liu, stephanie q.
kandampully, jay
bujisic, milos
helberger, natali
huh, jisu
milne, george
strycharz, joanna
sundaram, hari
thomas, veronica l.
fowler, kendra
styven, maria ek
mariani, marcello m.
strandberg, carola
hayes, jameson l.
britt, brian c.
evans, william
rush, stephen w.
towery, nathan a.
adamson, alyssa c.
watts, jameson
adriano, anastasia
kwak, hyokjin
puzakova, marina
rocereto, joseph f.
moriguchi, takeshi
van esch, patrick
cui, yuanyuan (gina)
jain, shailendra pratap
vakratsas, demetrios
wang, xin (shane)
ha, yui
park, kunwoo
kim, su jung
joo, jungseock
cha, meeyoung
thomas, veronica l.
fowler, kendra
nowlis, sm
simonson, i
bodur, ho
brinberg, d
coupey, e
machleit, ka
eroglu, sa
mantel, sp
levin, ip
levin, am
kahle, lr
liu, rr
rose, gm
kim, ws
maheswaran, d
shavitt, s
aaker, jl
sengupta, j
batra, r
ramaswamy, v
alden, dl
steenkamp, jbem
ramachander, s
bagozzi, rp
wong, n
abe, s
bergami, m
wang, cl
bristol, t
mowen, jc
chakraborty, g
aaker, jl
brumbaugh, am
grier, sa
wooten, db
reed, a
bhargava, m
kim, j
srivastava, rk
huang, mh
yu, st
dhar, r
nowlis, sm
sherman, sj
jain, sp
buchanan, b
maheswaran, d
mazursky, d
schul, y
kamins, ma
alpert, fh
elliott, mt
moore, dj
homer, pm
tybout, a
sternthal, b
bradlow, e
hutchinson, w
bradlow, pe
hutchinson, w
bradlow, e
hutchinson, w
purohit, d
srivastava, j
brannon, la
brock, tc
ratneshwar, s
barsalou, lw
pechmann, c
moore, m
hansen, de
helgeson, jg
tian, kt
mckenzie, k
hawkins, sa
hoch, sj
meyers-levy, j
zhang, s
markman, ab
bickart, b
schwarz, n
gorn, g
pham, mt
sin, ly
laczniak, rn
decarlo, te
ramaswami, sn
batra, r
homer, pm
kahle, lr
kardes, fr
cronley, ml
pontes, mc
houghton, dc
jain, sp
posavac, ss
wirtz, j
mattila, a
wood, sl
swait, j
alon, a
morrin, m
bechwati, nn
jacoby, j
morrin, m
jaccard, j
gurhan, z
kuss, a
maheswaran, d
drolet, a
aaker, j
sengupta, j
dahl, dw
gorn, gj
roggeveen, al
johar, gv
childers, tl
jass, j
biswas, a
pullig, c
yagci, mi
dean, dh
maoz, e
tybout, am
page, c
herr, pm
loken, b
joiner, c
peck, j
kacen, jj
lee, ja
antonides, g
verhoef, pc
van aalst, m
posavac, ss
